query_id,content_id,QuestionText,CorrectAnswerText,InCorrectAnswerText
58429_B,16897,a car started running at a speed of 30 km / hr and the speed of the car was increased by 2 km / hr at the end of every hour . find the total distance covered by the car in the first 12 hours of the journey .,492 km,352 km
57760_D,16728,how many seconds will a train 200 meters long running at the rate of 36 kmph take to pass a certain telegraph post ?,20 sec,30 sec
61809_C,17753,"tough and tricky questions : number properties . if ( z + 3 ) / 9 is an integer , what is remainder when z is divided by 9 ?",6,4
75177_D,21141,find the smallest number of 6 digits which is exactly divisible by 111 ?,15550,158993
49966_A,14756,"3 people decided to put a down payment on a car for 3500 dollars . how much money do they each have to pay , given that that they have to pay the same amount , and they can not use any bills below $ 1 ?",$ 1167,$ 1166
70862_C,20051,"if 8 men can reap 80 hectares in 24 days , then how many hectares can 36 men reap in 30 days ?",450,287
16922_D,6395,"two pipes can fill a tank in 10 minutes and 15 minutes . an outlet pipe can empty the tank in 30 minutes . if all the pipes are opened when the tank is empty , then how many minutes will it take to fill the tank ?",7.5,8.5
77725_E,21785,"if in a race of 130 m , a covers the distance in 20 seconds and b in 25 seconds , then a beats b by :",26 m,15 m
46896_A,13981,"how many integers are between 3 and 86 / 7 , inclusive ?",10,8
50433_B,14874,1.20 can be expressed in terms of percentage as,120 %,0.120 %
14378_A,5754,divide rs . 32000 in the ratio 3 : 7 ?,9600,12000
109063_A,29711,"a batsman in his 15 th innings makes a score of 85 , and thereby increases his average by 3 . what is his average after the 15 th innings ? he had never been ’ not out ’ .",43,47
108615_B,29597,a 80 gallon solution of salt and water is 10 % salt . how many gallons of water must be added to the solution in order to decrease the salt to 8 % of the volume ?,20,12
41104_A,12515,"the length of the bridge , which a train 170 metres long and travelling at 45 km / hr can cross in 30 seconds , is ?",205,245
21610_E,7579,2 men and 2 women are lined up in a row . what is the number of cases where they stand with each other in turn ? ( the number of cases in which men ( or women ) do not stand next to each other ),4,24
64007_C,18311,"if 75 percent of a class answered the first question on a certain test correctly , 65 percent answered the second question on the test correctly , and 20 percent answered neither of the questions correctly , what percent answered both correctly ?",60 %,30 %
82790_C,23066,"the average ( arithmetic mean ) of 20 , 40 , and 60 is 7 more than the average of 10 , 70 , and what number ?",19,35
118459_E,32082,the effective annual rate of interest corresponding to a nominal rate of 12 % per annum payable half - yearly is ?,12.36 %,6.19 %
96032_B,26414,"each factor of 230 is inscribed on its own plastic ball , and all of the balls are placed in a jar . if a ball is randomly selected from the jar , what is the probability that the ball is inscribed with a multiple of 42 ?",3 / 16,5 / 42
15518_E,6041,jar a has 16 % more marbles than jar b . what percent of marbles from jar a need to be moved into jar b so that both jars have equal marbles ?,7 %,13 %
79257_D,22173,"the area of a rectangular plot is 23 times its breadth . if the difference between the length and the breadth is 10 metres , what is its breadth ?",13 metres,data inadequate
108241_E,29502,a candidate got 40 % of the votes polled and he lost to his rival by 2000 votes . how many votes were cast ?,10000,6851
77822_C,21810,"two pipes can fill a tank in 12 minutes and 15 minutes . an outlet pipe can empty the tank in 10 minutes . if all the pipes are opened when the tank is empty , then how many minutes will it take to fill the tank ?",20,24
39468_D,12100,cubes with each side one inch long are glued together to form a larger cube . the larger cube ' s face is painted with red color and the entire assembly is taken apart . 26 small cubes are found with no paints on them . how many of unit cubes have at least one face that is painted red ?,99,98
90270_B,24957,an error 4 % in excess is made while measuring the side of a square . what is the percentage of error in the calculated area of the square ?,8.16 %,4.02 %
30706_B,9884,"the workforce of company x is 60 % female . the company hired 28 additional male workers , and as a result , the percent of female workers dropped to 55 % . how many employees did the company have after hiring the additional male workers ?",336,220
68979_C,19573,"ages of two sisters differ by 9 years . if 5 years ago , the elder one was twice as old the younger one , find their present age",1423,1632
54544_C,15914,"if $ 5,000 is invested in an account at a simple annual rate of r percent , the interest is $ 250 . when $ 18,000 is invested at the same interest rate , what is the interest from the investment ?",$ 900,$ 800
64595_A,18460,"danny is sitting on a rectangular box . the area of the front face of the box is half the area of the top face , and the area of the top face is 1.5 times the area of the side face . if the volume of the box is 648 , what is the area of the side face of the box ?",72,32
4632_B,3286,"the average weight of 10 oarsmen in a boat is increased by 1.8 kg when one of the crew , who weight 53 kg is replaced by a new man . find the weight of the new man .",71 kg,62 kg
13557_D,5545,the sum of all the digits of the integers from 18 to 21 inclusive is 24 ( 1 + 8 + 1 + 9 + 2 + 0 + 2 + 1 = 24 ) . what is the sum w of all the digits of the integers from 0 to 99 inclusive ?,900,1000
80933_B,22595,an error 1 % in excess is made while measuring the side of a square . what is the percentage of error in the calculated area of the square ?,2.01 %,4.02 %
4642_E,3288,"how many multiples of 13 are less than 6000 , and also multiples of 16 ?",29,33
37372_B,11571,"if in a race of 70 m , a covers the distance in 20 seconds and b in 25 seconds , then a beats b by :",14 m,16 m
59940_B,17279,two trains of equal length are running on parallel lines in the same direction at 46 km / hr and 36 km / hr . the faster train catches and completely passes the slower train in 72 seconds . what is the length of each train ( in meters ) ?,100,80
74824_D,21052,"tom drives from town a to town b , driving at a constant speed of 60 miles per hour . from town b tom immediately continues to town c . the distance between a and b is twice the distance between b and c . if the average speed of the whole journey was 36 mph , then what is tom ' s speed driving from b to c in miles per hour ?",20,30
100426_A,27527,"twenty four meters of wire is available to fence off a flower bed in the form of a circular sector . what must the radius of the circle in meters be , if we wish to have a flower bed with the greatest possible surface area ?",6,2 √ 2
20010_B,7175,"a committee is reviewing a total of 20 x black - and - white films and 6 y color films for a festival . if the committee selects y / x % of the black - and - white films and all of the color films , what fraction q of the selected films are in color ?",30 / 31,1 / 5
9229_B,4447,"if ( 1 / 5 ) ^ m * ( 1 / 4 ) ^ 4 = 1 / ( 16 * ( 10 ) ^ 4 ) , then m =",4,2
28836_C,9410,"36 people { a 1 , a 2 … a 36 } meet and shake hands in a circular fashion . in other words , there are totally 36 handshakes involving the pairs , { a 1 , a 2 } , { a 2 , a 3 } , … , { a 35 , a 36 } , { a 36 , a 1 } . then size of the smallest set of people such that the rest have shaken hands with at least one person in the set is",12,44
18749_A,6857,"in a garment industry , 12 men working 8 hours per day complete a piece of work in 10 days . to complete the same work in 8 days , working 20 hours a day , the number of men required is :",6,4
35656_E,11135,"julie put half of her savings in a savings account that pays an annual simple interest and half in a savings account that pays an annual compound interest . after two years she earned $ 100 and $ 105 from the simple interest account and the compound interest account respectively . if the interest rates for both accounts were the same , what was the amount of julie ' s initial savings ?",1000,1440
83075_C,23137,john makes $ 60 a week from his job . he earns a raise andnow makes $ 68 a week . what is the % increase ?,13.33 %,16.56 %
116379_B,31558,the number which exceeds 16 % of it by 105 is :,125,52
50453_C,14879,"in measuring the sides of a rectangle , one side is taken 5 % in excess , and the other 4 % in deficit . find the error percent in the error percent in the area calculated from these measurements .",0.8 %,0.4 %
96643_A,26569,"list k consists of 10 consecutive integers . if - 4 is the least integer in list k , what is the range of the positive integers in list k ?",4,5
35408_E,11072,how many digits are required to write numbers between 1 to 100 .,192,none
14632_E,5817,"a computer manufacturer produces a certain electronic component at a cost of $ 75 per component . shipping costs for delivering the components are $ 2 per unit . further , the manufacturer has costs of $ 16,500 a month related to the electronic component regardless of how many it produces . if the manufacturer produces and sells 150 components a month , what is the lowest price it can sell them for such that the costs do n ' t exceed the revenues ?",$ 187,$ 192
48714_B,14439,a trader sells 92 meters of cloth for rs . 9890 at the profit of rs . 24 per metre of cloth . what is the cost price of one metre of cloth ?,83.5,89.5
24443_C,8296,"due to construction , the speed limit along an 10 - mile section of highway is reduced from 55 miles per hour to 30 miles per hour . approximately how many minutes more will it take to travel along this section of highway at the new speed limit than it would have taken at the old speed limit ?",d ) 9.1,c ) 10
107192_A,29237,"which of the numbers 1 , 2 , 3 , 4 , or 5 is nearest in value to the sum 2007 / 2999 + 8001 / 5998 + 2001 / 3999 = ?",3,1
46869_D,13973,if 2 / z = 2 / ( z + 1 ) + 2 / ( z + 36 ) which of these integers could be the value of z ?,6,3
9835_E,4599,"right now , the ratio between the ages of sandy and molly is 4 : 3 . after 6 years , sandy ’ s age will be 30 years . what is molly ' s age right now ?",18,20
89445_C,24748,"the price of a coat in a certain store is $ 500 . if the price of the coat is to be reduced by $ 150 , by what percent is the price to be reduced ?",30 %,20 %
49703_E,14688,120 is what percent of 40 ?,300 %,500 %
87630_C,24290,"the average ( arithmetic mean ) of 20 , 40 , and 60 is 5 more than the average of 10 , 50 , and what number ?",45,55
56398_B,16383,"a worker can load one truck in 6 hours . a second worker can load the same truck in 8 hours . if both workers load one truck simultaneously while maintaining their constant rates , approximately how long , in hours , will it take them to fill one truck ?",3.4,2.8
37414_A,11582,"a certain roller coaster has 5 cars , and a passenger is equally likely to ride in any 1 of the 5 cars each time that passenger rides the roller coaster . if a certain passenger is to ride the roller coaster 5 times , what is the probability that the passenger will ride in each of the 5 cars ?",24 / 625,0
41990_E,12737,a man buys a cycle for rs . 1600 and sells it at a loss of 15 % . what is the selling price of the cycle ?,s . 1360,s . 1256
33501_C,10591,"a certain college ' s enrollment at the beginning of 1992 was 20 percent greater than it was at the beginning of 1991 , and its enrollment at the beginning of 1993 was 15 percent greater than it was at the beginning of 1992 . the college ' s enrollment at the beginning of 1993 was what percent greater than its enrollment at the beginning of 1991 ?",38 %,30 %
65947_B,18802,"the sum of the non - prime numbers between 40 and 50 , non - inclusive , is",274,176
49197_C,14561,"3 persons invested rs . 9000 in a joint business . the second person invested rs . 1000 more than the first and the third rs . 1000 more than second . after two years , they gained rs . 1800 . how much third person will get ?",800,600
23537_C,8066,"two pipes a and b can fill a tank in 4 and 5 hours respectively . if they are turned up alternately for one hour each , the time taken to fill the tank is ?",4 hrs 24 min,8 hrs 24 min
32315_D,10291,"sally has a gold credit card with a certain spending limit , and a platinum card with twice the spending limit of the gold card . currently , she has a balance on her gold card that is 1 / 3 of the spending limit on that card , and she has a balance on her platinum card that is 1 / 8 of the spending limit on that card . if sally transfers the entire balance on her gold card to her platinum card , what portion of her limit on the platinum card will remain unspent ?",17 / 24,19 / 30
75758_D,21288,"an outlet pipe empties a tank which is full in 10 hours . if the inlet pipe is kept open , which lets water in at the rate of 4 litres / min then outlet pipe would take 6 hours longer . find the capacity of the tank .",6400 litres,11200 litres
89473_C,24755,"if 20 men can build a wall 112 metres long in 6 days , what length of a similar wall can be built by 15 men in 3 days ?",42 mtr .,70 mtr .
12727_B,5334,"working together , jose and jane can complete an assigned task in 12 days . however , if jose worked alone and complete half the work and then jane takes over the task and completes the second half of the task , the task will be completed in 48 days . how long will jose take to complete the task if he worked alone ? assume that jane is more efficient than jose",36 days,30 days
87333_E,24215,"if the price of a book is first decreased by 25 % and then increased by 20 % , then the decrease in the price will be ?",10 %,30 %
80641_E,22521,"seed mixture x is 40 percent ryegrass and 60 percent bluegrass by weight ; seed mixture y is 25 percent ryegrass and 75 percent fescue . if a mixture of x and y contains 32 percent ryegrass , what percent of the weight of this mixture is x ?",46.66 %,66.66 %
40232_A,12294,robert left from a pvt company . management hold his salary rs . 15000 / - for one month . earlier robert earned a performance incentive rs . 7280 / - from company . but robert forgot that . after one month robert asked his salary and accountant gives rs . 18500 / - to him . what is the bonus amount given to robert ?,c ) 10780,a ) 9500
63171_D,18100,"if the price of a certain computer increased 20 percent from d dollars to 351 dollars , then 2 d =",585,649
92848_E,25609,two circular frames are kept one above the other . frame x has a diameter of 16 cm and frame y has a diameter of 12 cm . what fraction of the surface of frame x is not covered by frame y ?,7 / 16,2 / 3
104773_E,28624,"if 2 and 3 are positive integers , then 2 * 3 + 2 is",8,16
20668_E,7341,the unit digit in the product 1457 * 7863 * 4575 * 9719 is ?,5,4
118542_E,32103,evaluate : 30 - | - x + 6 | for x = 10,26,56
41007_B,12490,if ( 2 ^ 14 ) ( 25 ^ s ) = 5 ( 10 ^ m ) what is the value of m ?,14,8
61811_A,17754,"if x dollars is invested at 9 percent for one year and y dollars is invested at 8 percent for one year , the annual income from the 9 percent investment will exceed the annual income from the 8 percent investment by $ 48 . if $ 2,000 is the total amount invested , how much is invested at 9 percent ?",1223.53,300
18400_A,6769,"a dishonest dealer professes to sell goods at the cost price but uses a weight of 500 grams per kg , what is his percent ?",100 %,20 %
78745_E,22043,a pipe takes a hours to fill the tank . but because of a leakage it took 6 times of its original time . find the time taken by the leakage to empty the tank,72 min,70 min
4944_E,3364,the total number of digits used in numbering the pages of a book having 360 pages is,972,1405
66028_A,18823,if a man lost 1 % by selling oranges at the rate of 16 a rupee at how many a rupee must he sell them to gain 44 % ?,11,12
52913_A,15501,a person crosses a 1000 m long street in 10 minutes . what is his speed in km per hour ?,6.0,7.1
105964_E,28925,dhoni spent 20 percent of his earning last month on rent and 5 percent less than what he spent on rent to purchase a new dishwasher . what percent of last month ' s earning did dhoni have left over ?,61 %,50 %
76605_D,21502,"a and b together have rs . 1210 . if of a ' s amount is equal to of b ' s amount , how much amount does b have ?",484,664
88523_E,24514,"if you multiply two integers together and then add 4 , the result is 40 . which of the following could not be the sum of the two numbers ?",18,20
100325_E,27501,"a number when divided by 6 leaves a remainder 3 . when the square of the same number is divided by 6 , the remainder is :",3,4
31719_E,10140,"a small beaker is 1 / 2 filled with salt water . another beaker , which has 5 times the capacity of the small beaker , is 1 / 5 filled with fresh water . after dumping all of the salt water from the small beaker into the large beaker , to what fraction of its capacity will the large beaker be filled ?",3 / 10,7 / 20
41848_E,12701,"the temperature of a certain cup of coffee 10 minutes after it was poured was 120 degrees fahrenheit . if the temperature f of the coffee t minutes after it was poured can be determined by the formula f = 120 ( 2 ^ - at ) + 60 , where f is in degrees fahrenheit and a is a constant . then the temperature of the coffee 60 minutes after it was poured was how many degrees fahrenheit ?",61.8,50
25308_B,8516,"given that 268 x 74 = 19832 , find the value of 2.68 x . 74 .",1.9832,1.0025
2619_D,2776,"a cube of edge 12 cm is immersed completely in a rectangular vessel containing water . if the dimensions of the base of vessel are 20 cm * 15 cm , find the rise in water level ?",5.76 cm,15.12 cm
38586_A,11878,"the current of a stream runs at the rate of 4 kmph . a boat goes 6 km and back to the starting point in 4 hours , then find the speed of the boat in still water ?",d ) 5.77,a ) 7
95188_E,26201,"if two positive numbers are in the ratio 1 / 10 : 1 / 7 , then by what percent is the second number more than the first ?",42.8 % .,80 % .
41134_D,12522,"in a division , a student took 72 as divisor instead of 36 . his answer was 24 . the correct answer is -",48,28
53251_A,15587,"if the average of 55 , 48 , 507 , 2 , 684 and y is 223 , then what is y ?",42,701
76626_E,21507,"a basket contains 6 apples , of which 1 is spoiled and the rest are good . if we select 2 apples from the basket simultaneously and at random , what is the probability that the 2 apples selected will include the spoiled apple ?",1 / 2,1 / 6
33078_B,10485,"a telephone company needs to create a set of 3 - digit area codes . the company is entitled to use only digits 2 , 4 and 6 , which can be repeated . if the product of the digits in the area code must be even , how many different codes can be created ?",27,22
90282_B,24960,"a certain number when divided by 95 leaves a remainder 25 , what is the remainder if the same no . be divided by 15 ?",8,5
107710_A,29368,15 - 2 + 4 ÷ 1 / 2 × 8 = ?,77,272
81118_B,22642,the age of somu is one - third his father ' s . 5 years back he was one - fifth of his father ' s age . what is his persent age ?,10,13
71207_B,20138,"a alone can do a piece of work in 6 days and b alone in 8 days . a and b undertook to do it for rs . 4000 . with the help of c , they completed the work in 3 days . how much is to be paid to c ?",s . 500,s . 400
76268_B,21417,"if 3 ^ x * 4 ^ y = 1 , 594,323 and x – y = 13 , then x = ?",13,11
29083_B,9472,a trader bought a car at 20 % discount on its original price . he sold it at a 100 % increase on the price he bought it . what percent of profit did he make on the original price ?,60 %,13 %
50911_A,14995,"if a / b = 1 / 7 , b / c = 3 , c / d = 2 / 3 , d / e = 2 and e / f = 1 / 2 , then what is the value of abc / def ?",16 / 21,72 / 21
55325_A,16112,"if 7 men and 2 boys working together , can do 6 times as much work per hour as a man and a boy together . find the ratio of the work done by a man and that of a boy for a given time ?",4 : 1,2 : 5
66490_E,18939,john has rs 360 for his expenses . if he exceeds his days by 4 days he must cut down daily expenses by rs 3 . the number of days of john ' s tour program is,20,27
51530_A,15152,"sides of a rectangular park are in the ratio 3 : 2 and its area is 7350 sq m , the cost of fencing it at 50 ps per meter is ?",175,287
53338_E,15608,how many of the positive divisors of 480 are also multiples of 4 not including 480 ?,15,24
32868_B,10432,"the average of 5 numbers is 6.8 . if one of the numbers is multiplied by a factor of 3 , the average of the numbers increases to 12.8 . what number is multiplied by 3 ?",15.0,13.0
57961_A,16779,marts income is 60 percent more than tims income and tims income is 40 percent less than juans income . what percentage of juans income is marts income,96 %,124 %
112785_B,30651,"find the compound interest accrued on an amount of rs . 14,800 at 13.5 % p . a at the end of two years . ( round off your answer to nearest integer )",4266,2782
106590_B,29084,"a is a working partner and b is a sleeping partner in the business . a puts in rs . 2000 and b rs . 3000 , a receives 10 % of the profit for managing the business the rest being divided in proportion of their capitals . out of a total profit of rs . 9600 , money received by a is ?",4416,2707
99372_E,27260,"in an election between two candidates , one got 55 % of the total valid votes , 20 % of the votes were invalid . if the total number of votes was 7500 , the number of valid votes that the other candidate got , was :",2700,2300
50088_A,14787,what is the remainder when 1044 * 1047 * 1050 * 1053 is divided by 33 ?,30,3
101485_E,27794,"a gambler bought $ 3,000 worth of chips at a casino in denominations of $ 20 and $ 100 . that evening , the gambler lost 14 chips , and then cashed in the remainder . if the number of $ 20 chips lost was 2 more or 2 less than the number of $ 100 chips lost , what is the largest amount of money that the gambler could have received back ?",$ 2,$ 1
28420_E,9304,"if x and y are the two digits of the number 653 xy . such that this number is divisible by 80 , then x + y is equal to",2,0
32064_B,10228,"if w / x = 1 / 6 and w / y = 1 / 5 , then ( x + y ) / y =",11 / 5,6 / 5
87670_C,24300,"42 persons can repair a road in 12 days , working 5 hours a day . in how many days will 30 persons , working 6 hours a day , complete the work ?",14,13
118380_E,32062,"mike needs 30 % to pass . if he scored 212 marks and falls short by 28 marks , what was the maximum marks he could have got ?",800,932
40777_D,12431,the average expenditure of a labourer for 6 months was 90 and he fell into debt . in the next 4 months by reducing his monthly expenses to 60 he not only cleared off his debt but also saved 30 . his monthly income i,81,78
47645_D,14168,a invested $ 400 in a business after 6 months b invested $ 200 in the business . end of the year if they got $ 100 as profit . find a shares ?,$ 80,$ 120
40589_A,12384,"for each month of a given year except december , a worker earned the same monthly salary and donated one - tenth of that salary to charity . in december , the worker earned n times his usual monthly salary and donated one - fourth of his earnings to charity . if the worker ' s charitable contributions totaled one - eighth of his earnings for the entire year , what is the value of n ?",22 / 10,8 / 5
8215_A,4191,what is the distance covered by a car if it travels with a speed of 160 kmh for 5 hours ?,800 km,350 km
45260_A,13565,"the volume of a sphere with radius r is ( 4 / 3 ) * pi * r ^ 3 and the surface area is 4 * pi * r ^ 3 . if a sperical balloon has a volume of 12348 pi cubic centimeters , what is hte surface area of the balloon in square centimeters ?",e . 5,a . 40
18235_C,6727,"two trains of lengths 156.62 and 100 meters are running on parallel lines with respective speeds of 30 km / hr and 36 km / hr . the time of crossing each other , if they run in the opposite direction is",14 sec,11 sec
70742_A,20020,a man swims downstream 60 km and upstream 40 km taking 4 hours each time ; what is the speed of the current ?,2.5 kmph,3 kmph
15663_A,6078,2.09 can be expressed in terms of percentage as,209 %,2.09 %
50050_C,14777,solution for 2.75 + . 003 + . 158,2.911,2.938
118284_E,32038,what is the value of 4 ^ 5 + 4 ^ 7 ?,17 ( 4 ^ 5 ),7 ( 4 ^ 5 )
88033_E,24391,"a factory produces 4560 toys per week . if the workers at this factory work 4 days a week and if these workers make the same number of toys everyday , how many toys are produced each day ?",1140 toys,5375 toys
42482_D,12861,"pipe a can fill a tank in 4 hours . due to a leak at the bottom , it takes 6 hours for the pipe a to fill the tank . in what time can the leak alone empty the full tank ?",12,36
46624_E,13911,perimeter of an equilateral and isosceles is 45 and 40 respectively . at least one of the sides of isosceles is equal to the equilateral . what ' s the base of isosceles triangle ?,10,11
15871_B,6131,a man can row a distance of 5 km in 60 min with the help of the tide . the direction of the tide reverses with the same speed . now he travels a further 40 km in 10 hours . how much time he would have saved if the direction of tide has not changed ?,2,8
84907_D,23600,"if the sides of a square are multiplied by sqrt ( 20 ) , the area of the original square is how many times as large as the area of the resultant square ?",5 %,50 %
90620_A,25046,which fraction should be added to : 1 / ( 2 ã — 3 ) + 1 / ( 3 ã — 4 ) + 1 / ( 4 ã — 5 ) + . . . . . . . + 1 / ( 23 ã — 24 ) so that the result is equal to 1 ?,13 / 24,7 / 24
66586_D,18964,"due to a reduction of 25 / 4 % in the price of sugar , a man is able to buy 1 kg more for rs . 120 . find the original rate of sugar .",8,9
117595_B,31865,"the average of 5 numbers is calculated as 15 . it is discovered later on that while calculating the average , one number namely 36 was wrongly read as 26 . the correct average is ?",7.5,26.2
4224_B,3182,"find large number from below question the difference of two no . is 1365 . on dividing the larger no . by the smaller , we get 6 as quotient and the 15 as remainder ?",1635,1456
48622_A,14416,the radius of a wheel is 24.2 cm . what is the distance covered by the wheel in making 500 resolutions ?,760.57 m,708 m
19871_A,7140,a man can row downstream at the rate of 45 kmph and upstream at 23 kmph . find the man ’ s rate in still water and rate of current ?,11.0,8.5
42793_E,12939,what is the least common multiple of 152 and 190 ?,760,1520
44680_D,13418,"at a certain committee meeting only associate professors and assistant professors are present . each associate professor has brought 2 pencils and 1 chart to the meeting , while each assistant professor has brought 1 pencil and 2 charts . if a total of 10 pencils and 8 charts have been brought to the meeting , how many people are present ?",6,9
112760_A,30645,"30 ladies and 60 gentlemen are present at a party . there are 23 couples among them . if a lady and a gentleman is selected at random , what is the probability that they will be a couple ?",23 / 1800,1 / 200
93709_C,25826,"a man goes downstream at 14 kmph , and upstream 8 kmph . the speed of the stream is",3 kmph,16 kmph
87514_B,24261,the surface of a cube is 150 sq cm . find its volume ?,125 cc,9 cc
105570_C,28826,"if x and y are the two digits of the number 653 xy such that this number is divisible by 80 , then x + y = ?",6,8
5189_C,3426,"if a person walks at 16 km / hr instead of 10 km / hr , he would have walked 20 km more . the actual distance traveled by him is :",33.3 km,60 km
27327_B,9029,we bought a total of 80 books at the store . math books cost $ 4 and history books cost $ 5 . the total price was $ 390 . how many math books did we buy ?,10,20
49497_C,14636,"boy sells a book for rs . 720 he gets a loss of 10 % , to gain 10 % , what should be the sp ?",880,550
74976_D,21090,"what is the least number which when divided by 5 , 6 , 7 and 8 leaves a remainder 3 , but when divided by 9 leaves no remainder ?",1683,3363
70541_B,19969,"when tossed , a certain coin has equal probability of landing on either side . if the coin is tossed 5 times , what is the probability that it will land on either side all 5 times ?",1 / 16,1 / 10
67449_E,19182,"in goshawk - eurasian nature reserve 30 percent of the birds are hawks , and 40 percent of the non - hawks are paddyfield - warblers . if there are 25 percent as many kingfishers as paddyfield - warblers in the reserve , then what percent of the birds r in the nature reserve are not hawks , paddyfield - warblers , or kingfishers ?",35 %,80 %
96551_D,26545,the sum of the present age of henry and jill is 43 . what is their present ages if 5 years ago henry was twice the age of jill ?,and 27,and 29
90200_D,24939,"a 6 - meter long wire is cut into two pieces . if the longer piece is then used to form a perimeter of a square , what is the probability that the area of the square will be more than 1 if the original wire was cut at an arbitrary point ?",2 / 3,5 / 6
49614_A,14666,a student committee on academic integrity has 72 ways to select a president and vice president from a group of candidates . the same person can not be both president and vice president . how many candidates are there ?,9,7
35090_B,10992,"the sum of the present ages of two persons a and b is 60 . if the age of a is twice that of b , find the sum of their ages 6 years hence ?",72,77
22325_B,7759,what is the units digit of 31 ! + 50 ! + 2 ! + 3 ! ?,8,2
51661_E,15184,"for every integer n ≥ 3 , the function g ( n ) is defined as the product of all the odd integers from 1 to n , inclusive . what is the value of g ( 99 ) – g ( 97 ) ?",98,97
24895_C,8411,what is the ratio of 4 / 7 to the product 2 * ( 7 / 3 ) ?,6 : 49,3 : 21
26736_B,8878,"alice is now 10 years older than bob . if in 6 years alice will be twice as old as bob , how old will alice be in 5 years ?",19,21
52247_D,15332,"when positive integer x is divided by positive integer y , the remainder is 1.44 . if x / y = 96.12 , what is the value of y ?",12,25
77408_C,21705,find the sum lend at c . i . at 5 p . c per annum will amount to rs . 650 in 2 years ?,589,400
57998_C,16788,find the area of a parallelogram with base 22 cm and height 21 cm ?,462 cm 2,490 cm 2
32818_B,10419,"if c is 25 % of a and 10 % of b , what percent of a is b ?",250 %,15 %
20077_B,7192,the remainder when q = 1 + 3 + 3 ^ 2 + 3 ^ 3 + . . . . . . . . . . + 3 ^ 200 is divided 13 .,0,7
105820_D,28889,"sam ’ s car was fined when he gave joe and peter a ride , so they decided to help sam pay the fine . joe paid $ 10 more than 1 / 4 of the fine and peter paid $ 10 less than 1 / 3 of the fine , leaving pay $ 25 less than 1 / 2 the fine to complete the payment . what fraction of the fine did sam pay ?",$ 125,$ 135
22745_B,7865,"each of the integers from 1 to 14 is written on the a seperate index card and placed in a box . if the cards are drawn from the box at random without replecement , how many cards must be drawn to ensure that the product of all the integers drawn is even ?",8,12
81360_E,22702,"jane makes toy bears . when she works with an assistant , she makes 71 percent more bears per week and works 10 percent fewer hours each week . having an assistant increases jane ’ s output of toy bears per hour by what percent ?",90 %,200 %
49097_E,14535,a bag contains 10 balls numbered from 0 to 9 . the balls are such that the person picking a ball out of the bag is equally likely to pick anyone of them . a person picked a ball and replaced it in the bag after noting its number . he repeated this process 2 more times . what is the probability that the ball picked first is numbered higher than the ball picked second and the ball picked second is numbered higher than the ball picked third ?,3 / 25,1 / 9
47436_D,14116,"if 85 percent of the test takers taking an old paper and pencil gmat exam answered the first question on a given math section correctly , and 65 percent of the test takers answered the second question correctly , and 5 percent of the test takers answered neither question correctly , what percent answered both correctly ?",55 %,75 %
89803_B,24839,3 men and 2 women are lined up in a row . what is the number of cases where they stand with each other in turn ? ( the number of cases in which men ( or women ) do not stand next to each other ),12,15
71455_D,20200,"a marketing survey of anytown found that the ratio of trucks to sedans to motorcycles was 3 : 7 : 2 , respectively . given that there are 9,800 sedans in anytown , how many motorcycles are there ?",2800,4200
39382_A,12079,"a man has rs . 400 in the denominations of one - rupee notes , 5 - rupee notes and 10 rupee notes . the number of notes of each denomination is equal . what is the total number of notes that he has ?",75,45
89766_D,24829,steve traveled the first 2 hours of his journey at 40 mph and the last 3 hours of his journey at 60 mph . what is his average speed of travel for the entire journey ?,52 mph,64 mph
23978_C,8178,a and b complete a work in 20 days . a alone can do it in 40 days . if both together can do the work in how many days ?,0.075 days,0.0675 days
100228_C,27477,what is the area of a square field whose diagonal of length 10 m ?,50,60
48680_E,14430,"excluding stoppages , the speed of a bus is 54 kmph and including stoppages , it is 41 kmph . for how many minutes does the bus stop per hour ?",14.4 min,11 min
63098_A,18082,the ratio between the radii of two spheres is 1 : 3 . find the ratio between their volumes ?,1 : 27,1 : 28
8235_B,4196,"in a certain supermarket , a triangular display of cans is arranged in 9 rows , numbered 1 through 9 from top to bottom . each successively numbered row contains 3 more cans than the row immediately above it . if there are fewer than 120 cans in the entire display , how many cans are in the six row ?",16,14
99023_D,27171,"if p is the product of the integers from 1 to 35 , inclusive , what is the greatest integer k for which 3 ^ k is a factor of p ?",15,17
37013_B,11480,"in a 500 m race , the ratio of the speeds of two contestants a and b is 3 : 4 . a has a start of 140 m . then , a wins by :",20 m,20 m
5931_C,3613,find the value of ( √ 1.21 ) / ( √ 0.81 ) + ( √ 0.81 ) / ( √ 0.49 ) is,2.5,155 / 63
109947_C,29934,"if { x } is the product of all even integers from 1 to x inclusive , what is the greatest prime factor of { 18 } + { 16 } ?",19,11
87998_A,24383,"there are 2 more women than there are men on a local co - ed softball team . if there are a total of 16 players on the team , what is the ratio of men to women ?",7 / 9,10 / 16
20154_D,7211,"a vendor sells 60 percent of the apples he had and throws away 40 percent of the remainder . the next day , the vendor sells 50 percent of the remaining apples and throws away the rest . in total , what percent of his apples does the vendor throw away ?",28,30
9418_A,4495,"a train 350 m long , running with a speed of 63 km / hr will pass a tree in ?",20 sec,22 sec
